#01/20/2015 Tuesday   Dals Development Computer
*15:27:44 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:28:26 p  1 attendance.php>  
*15:28:26 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:28:28 p  1 account.php>  
*15:28:28 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:28:40 p  1 attendance.php>  
*15:28:40 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:28:52 p  1 attendance.php>  
*15:28:52 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:30:03 p  1 admin.php>  
*15:30:05 p  1 admin_listusers.php>  
*15:41:47 p  1 attendance.php>  
*15:41:47 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:42:10 p  1 attendance.php>  
*15:42:10 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:44:53 p  1 t.php>  
*15:44:53 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:45:31 p  1 attendance.php>  
*15:45:31 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:47:19 p  1 attendance.php>  
*15:47:19 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:47:30 p  1 attendance.php>  
*15:47:30 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:47:45 p  1 attendance.php>  
*15:47:45 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:49:38 p  1 attendance.php>  
*15:49:38 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:50:05 p  1 attendance.php>  
*15:50:05 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:50:13 p  1 attendance.php>  
*15:50:13 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:50:26 p  1 attendance.php>  
*15:50:26 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:50:57 p  1 attendance.php>  
*15:50:57 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:55:43 p  1 attendance.php>  
*15:55:43 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:56:40 p  1 attendance.php>  
*15:56:40 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
